sale_id,product_id,product_name,quantity,price,date,customer_id,region
1,98,Action FigureGold,7,25.04,2024-06-17,1864,Brazil
1,66,SunglassesMediumAquaMarine,8,205.44,2024-06-17,1864,Brazil
1,39,Desk OrganizerSnow,8,182.23,2024-06-17,1864,Brazil
1,28,RouterMaroon,9,73.94,2024-06-17,1864,Brazil
2,80,Makeup KitCyan,5,493.69,2024-05-29,1143,Holy See (Vatican City State)
3,19,Game ConsoleDarkViolet,5,53.89,2024-08-03,1545,Grenada
3,10,USB CableMintCream,6,238.71,2024-08-03,1545,Grenada
3,13,CameraDarkSlateGray,6,219.92,2024-08-03,1545,Grenada
3,79,Lip BalmBlue,4,483.47,2024-08-03,1545,Grenada
3,62,JeansLightSlateGray,8,433.33,2024-08-03,1545,Grenada
4,71,ShampooGhostWhite,1,51.17,2023-11-08,1266,Bahamas
5,91,BookSnow,1,307.89,2023-03-15,1860,Cameroon
5,43,BlenderCoral,4,366.49,2023-03-15,1860,Cameroon
5,91,BookSnow,2,99.58,2023-03-15,1860,Cameroon
5,73,Hair DryerLightGoldenRodYellow,4,123.11,2023-03-15,1860,Cameroon
6,70,GlovesGold,8,50.15,2024-09-16,1990,Cyprus
6,41,Coffee MakerLemonChiffon,9,499.0,2024-09-16,1990,Cyprus
7,39,Desk OrganizerSnow,9,149.09,2023-02-03,1501,Montserrat
8,43,BlenderCoral,9,105.58,2024-04-07,1127,Vietnam
8,78,PerfumeDeepPink,9,295.87,2024-04-07,1127,Vietnam
8,57,NightstandLightSteelBlue,2,300.16,2024-04-07,1127,Vietnam
8,50,Air ConditionerDarkGoldenRod,6,289.95,2024-04-07,1127,Vietnam
8,38,Mouse PadAliceBlue,3,98.75,2024-04-07,1127,Vietnam
9,79,Lip BalmBlue,5,240.88,2024-01-25,1191,Pitcairn Islands
10,20,Graphics CardMagenta,1,422.02,2023-02-24,1091,British Virgin Islands
10,90,Sports BagRoyalBlue,9,343.33,2023-02-24,1091,British Virgin Islands
11,36,BackpackDarkGoldenRod,9,406.76,2024-04-08,1857,New Caledonia
11,28,RouterMaroon,10,413.51,2024-04-08,1857,New Caledonia
11,54,Dining TableSlateGray,10,141.23,2024-04-08,1857,New Caledonia
11,64,JacketDarkGoldenRod,6,45.77,2024-04-08,1857,New Caledonia
11,79,Lip BalmBlue,2,245.79,2024-04-08,1857,New Caledonia
12,25,Cooling FanDarkGreen,4,13.02,2024-08-28,1645,British Indian Ocean Territory (Chagos Archipelago)
12,35,PenAquamarine,2,354.14,2024-08-28,1645,British Indian Ocean Territory (Chagos Archipelago)
